SOC,Occupation,Probability,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,3650,390,2810,2550,19800,3200,1890,680,480,10960,6560,1230,750,5760,5100,2290,2650,3660,3850,840,4790,3710,4700,3000,1890,3240,870,1490,1670,630,6290,1260,11020,8560,1030,7100,2950,2410,8610,500,3100,400,4980,22110,1250,620,5230,4890,1210,3310,860
53-2011,Airline Pilots; Copilots; and Flight Engineers,0.18,310,2030,2910,0,8290,2980,0,0,0,4640,6750,1030,0,7350,710,50,0,0,110,30,0,0,0,2980,200,0,80,0,0,40,0,70,5830,2580,0,1140,0,650,0,0,70,0,210,10590,0,0,2880,2120,80,60,80
53-2012,Commercial Pilots,0.55,930,550,1120,0,3860,680,350,270,0,4490,890,300,140,850,530,220,520,300,750,70,420,390,1160,540,480,540,360,420,570,200,450,270,1280,820,270,2110,390,590,930,40,300,360,410,5170,330,90,550,1180,100,430,130
53-2021,Air Traffic Controllers,0.11,250,0,430,100,2270,0,60,0,0,1780,900,250,90,1350,640,140,450,210,290,0,100,0,370,590,140,240,90,70,220,440,220,340,1100,600,100,740,550,0,400,50,180,0,600,2060,0,30,1060,600,90,140,0
53-2022,Airfield Operations Specialists,0.71,70,100,260,0,730,110,0,0,0,570,510,0,0,120,100,50,90,70,0,0,40,150,280,160,0,210,40,0,60,0,350,0,390,300,0,280,40,60,410,0,130,0,0,920,170,50,0,220,0,120,0
53-2031,Flight Attendants,0.35,0,0,0,0,14030,3220,120,0,0,9020,0,0,0,11560,660,0,0,0,0,0,0,2260,0,3780,0,0,0,0,0,0,0,0,9320,3670,0,790,0,810,0,0,0,0,0,15490,0,0,4070,3530,0,0,0
53-3011,Ambulance Drivers and Attendants; Except Emergency Medical Technicians,0.25,480,0,280,50,1490,170,100,60,0,160,890,0,90,730,150,280,0,60,210,270,180,640,400,0,150,50,60,100,0,0,770,170,1930,250,390,940,150,70,2290,70,870,0,150,800,110,0,290,290,240,200,0
53-3021,Bus Drivers; Transit and Intercity,0.67,1270,320,3650,350,23350,3340,1650,480,260,10330,3520,2290,700,8290,1790,1580,400,2360,1170,400,6000,4510,3600,3660,730,2260,540,910,2560,240,6220,760,20880,3240,160,5860,1020,2180,5400,160,820,220,2540,12940,850,430,4880,5990,500,1940,190
53-3022,Bus Drivers; School or Special Client,0.89,9420,1040,7200,6200,29380,5990,10260,2160,1230,20320,17900,1430,2670,22530,14170,5330,6660,10180,8230,2190,11430,13690,13420,15720,5260,11760,2000,3600,2270,2600,17490,2720,50500,16600,1430,11080,4570,6360,31540,1930,5660,1570,11190,34660,2420,1450,0,12030,5410,11300,1420
53-3031,Driver/Sales Workers,0.98,5770,660,8600,2950,40240,6540,3270,1590,450,25980,14440,1720,2560,13170,11550,4070,4490,5490,3350,2410,7370,9610,13140,8770,3740,10640,1730,3610,4170,2280,7360,2560,22070,15750,1850,22220,4740,6420,17270,1430,7510,1110,9060,48570,3070,670,10750,7780,2320,7840,1590
53-3032,Heavy and Tractor-Trailer Truck Drivers,0.79,31890,2740,23310,33210,130640,23380,13900,3910,500,77660,56120,3510,11940,66550,52640,37620,19810,27040,22610,8410,23470,24840,53040,34580,22460,42400,6530,26910,10680,6420,42990,9910,57330,54400,12210,70740,23250,21670,78320,3180,26520,7770,58120,175780,22350,3540,40450,31090,10850,49140,6210
53-3033,Light Truck or Delivery Services Drivers,0.69,11600,1760,14620,6330,99890,16950,10530,2300,1690,50660,26120,4680,3200,45750,17110,9280,8340,12460,14480,4450,21780,22200,27620,14750,7130,15380,3350,4770,7310,4520,26810,4620,43860,25120,2720,35060,8880,9120,34600,3750,13390,2590,18810,65930,8380,2130,21150,18110,4830,16350,1510
53-3041,Taxi Drivers and Chauffeurs,0.89,1210,380,4920,1660,17760,2500,3840,530,420,10820,2910,1330,630,8110,2470,1670,1310,1780,2220,820,4770,9900,4240,3920,890,2910,450,1070,11760,1180,8230,1040,15170,3840,630,7510,1560,1700,7630,540,1630,630,2750,10700,1370,680,4600,3610,680,5450,540
53-4011,Locomotive Engineers,0.96,800,0,0,650,0,0,0,60,0,890,1290,0,0,2870,2070,700,0,710,670,0,0,0,410,1000,0,1420,0,1010,0,0,800,580,1650,510,0,0,0,450,1930,0,580,170,780,5350,0,0,0,0,0,890,0
53-4012,Locomotive Firers,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,190,0,0,0,0,0,0,0
53-4013,Rail Yard Engineers; Dinkey Operators; and Hostlers,0.91,150,0,0,0,790,80,0,0,0,0,0,0,0,50,0,80,0,0,0,0,0,0,160,30,0,0,0,0,0,0,0,0,50,0,0,240,0,0,310,0,0,0,0,600,0,0,0,0,0,0,0
53-4021,Railroad Brake; Signal; and Switch Operators,0.83,220,0,0,0,0,0,0,0,0,0,820,0,0,970,270,0,0,100,740,0,40,290,0,740,0,1220,0,550,0,0,90,290,640,440,0,310,0,0,1030,0,100,0,400,3320,0,0,0,0,70,180,350
53-4031,Railroad Conductors and Yardmasters,0.83,1030,0,0,580,1630,0,0,0,0,850,1260,0,0,2390,1490,570,0,0,580,0,0,0,480,620,470,890,0,910,0,30,0,0,6070,290,570,0,550,400,2350,0,420,170,640,4550,0,0,1020,0,0,680,660
53-4041,Subway and Streetcar Operators,0.86,0,0,0,0,3870,140,0,0,0,0,0,0,0,370,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,3630,0,0,0,0,0,90,0,0,0,0,160,0,0,0,0,0,0,0
53-5011,Sailors and Marine Oilers,0.83,340,810,0,0,0,0,80,50,30,2820,100,580,0,670,760,70,0,1030,6590,200,510,390,220,0,190,110,0,0,0,0,640,0,1620,250,0,290,0,220,420,100,90,0,1030,2660,0,0,2270,3210,0,70,0
53-5021,Captains; Mates; and Pilots of Water Vessels,0.27,220,600,0,0,0,0,200,80,0,4020,310,1300,0,990,320,70,0,1500,7700,170,580,380,220,70,850,0,0,0,0,50,630,0,1770,270,0,330,0,260,420,150,430,0,750,3080,0,0,2220,2160,0,160,0
53-5022,Motorboat Operators,0.62,0,0,0,0,110,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,40,80,0,0,30,130,0,0,0
53-5031,Ship Engineers,0.041,130,320,0,0,0,0,0,0,0,0,50,0,0,0,200,0,0,260,1010,30,0,170,0,0,0,50,0,0,0,0,110,0,660,0,0,0,0,90,40,0,60,0,0,480,0,0,1520,810,0,0,0
53-6011,Bridge and Lock Tenders,0.97,0,0,0,0,90,0,0,0,0,150,0,0,0,320,40,50,0,70,560,0,0,0,100,70,60,40,0,0,0,0,240,0,340,0,0,180,0,30,110,0,0,0,60,60,0,0,0,80,70,210,0
53-6021,Parking Lot Attendants,0.87,400,160,2250,290,28030,1960,1440,310,2140,17190,3340,1670,300,4510,1590,940,0,600,1610,130,2820,3890,2850,2230,380,2130,80,390,3060,330,5010,540,16280,3450,100,3910,610,710,6850,870,570,140,2360,10320,590,120,2080,2860,130,1230,70
53-6031,Automotive and Watercraft Service Attendants,0.83,1610,250,1480,1360,8950,1400,750,240,0,4210,3240,540,350,2970,3240,790,980,1980,1420,610,3170,3430,3370,2200,900,1660,80,390,1100,440,9210,530,4890,3810,320,4640,1270,5770,2470,270,860,580,2970,10620,1450,0,1820,2210,350,1870,290
53-6041,Traffic Technicians,0.9,0,0,100,40,280,60,0,0,0,210,400,50,0,110,140,90,60,100,110,0,220,250,60,0,30,90,0,0,50,0,80,110,1350,160,0,110,70,90,50,0,60,0,520,410,30,0,400,100,30,0,30
53-6051,Transportation Inspectors,0.9,430,210,800,0,3110,620,190,210,240,1190,1250,150,30,1070,270,120,360,230,200,50,300,620,310,320,140,400,180,250,220,50,590,200,4160,140,110,750,560,310,570,50,100,80,240,3720,550,0,670,680,0,50,170
53-6061,Transportation Attendants; Except Flight Attendants,0.75,0,410,220,140,5770,0,120,0,260,870,220,620,30,930,290,0,90,0,0,0,0,350,560,0,0,60,0,0,340,0,510,0,1610,50,140,370,100,100,420,0,50,0,70,1510,380,0,340,0,0,0,0
53-7011,Conveyor Operators and Tenders,0.93,280,0,140,430,2160,230,0,0,0,530,620,0,220,1210,1270,1190,1460,670,610,260,160,190,480,620,150,950,160,1260,330,40,420,40,740,750,300,1210,690,300,1640,0,330,550,1330,1960,100,70,0,530,380,550,80
53-7021,Crane and Tower Operators,0.9,1200,100,440,430,2900,450,240,70,110,2210,750,190,130,1610,1830,950,410,720,3110,190,700,520,1180,950,620,530,190,350,410,0,740,130,1390,660,240,1770,610,650,2840,0,500,60,510,8110,390,90,910,1250,190,320,70
53-7031,Dredge Operators,0.92,0,0,0,0,190,0,0,0,0,100,0,0,50,0,80,0,0,0,180,0,0,30,0,0,0,70,0,100,0,0,70,0,0,0,0,60,0,0,0,0,50,0,70,0,0,0,0,0,0,0,0
53-7032,Excavating and Loading Machine and Dragline Operators,0.94,1250,120,870,380,2380,800,200,200,90,2820,980,90,180,520,1010,600,500,780,810,630,1510,1110,1120,1120,550,770,200,340,280,450,950,200,1540,1560,500,1030,1000,1040,1350,150,700,370,1930,7500,420,190,1370,720,1090,1130,920
53-7033,Loading Machine Operators; Underground Mining,0.5,180,0,0,0,0,70,0,0,0,0,0,0,0,300,90,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,80,0,0,0,0,0,170,0,0,0,0,90,0,0,0,0,420,0,0
53-7041,Hoist and Winch Operators,0.65,70,0,0,80,80,0,0,0,0,100,0,0,0,0,0,0,0,160,0,0,150,40,0,120,0,60,0,50,0,0,0,0,130,0,50,120,0,90,200,0,0,0,30,120,0,0,90,0,30,90,50
53-7051,Industrial Truck and Tractor Operators,0.93,9690,630,8380,6390,56930,8080,2260,1060,80,20300,29150,720,2560,26520,18370,6130,4840,16300,6470,1960,7880,5380,16590,10140,5650,8070,940,3060,2200,1540,15370,930,14860,21090,1300,22000,7340,10010,30870,1340,7580,1080,17730,59100,4470,870,12740,10590,2250,12120,860
53-7061,Cleaners of Vehicles and Equipment,0.37,5420,530,7080,3330,49270,6150,3270,920,520,25650,8060,1810,2150,17910,7320,3810,3870,3970,4310,1020,4550,4450,9010,6990,1880,8040,1330,2910,3860,1100,8180,2400,17120,9680,1270,12410,4070,5150,11350,750,3580,1220,5690,35180,3780,540,9700,7380,1300,6990,560
53-7062,Laborers and Freight; Stock; and Material Movers; Hand,0.85,42840,4930,40620,24180,317050,31890,23580,5400,1990,126850,117740,7490,7730,145060,72920,29100,19600,53020,45230,5940,40360,36350,71450,37830,28530,47610,4640,15810,26770,6710,107840,8690,109570,84990,8380,111230,27480,22490,134750,6160,50090,7060,96260,178880,18370,2830,49810,55530,12390,52690,3230
53-7063,Machine Feeders and Offbearers,0.93,1740,70,720,1750,8170,0,420,280,0,1880,3250,180,370,2290,4270,1110,0,0,590,510,950,2080,1330,1520,1910,1450,70,920,0,560,3690,640,2660,3240,170,4010,980,2970,4820,280,2210,290,1540,4830,460,0,2510,2120,340,3860,40
53-7064,Packers and Packagers; Hand,0.38,7160,910,10390,4830,99540,6850,7270,0,220,37120,23880,2500,2450,51330,22490,6410,6140,11100,3260,2070,5510,16320,24600,11840,4400,10150,930,4240,4190,2060,31220,2140,27740,26920,860,40960,3260,8100,26190,1840,8340,2120,18510,49080,6240,770,13000,18730,1750,19670,1020
53-7071,Gas Compressor and Gas Pumping Station Operators,0.91,0,0,0,0,0,130,0,0,0,0,0,0,0,120,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,100,0,40,0,390,180,180,0,460,0,0,0,0,200,90,0,0,0,570,0,130
53-7072,Pump Operators; Except Wellhead Pumpers,0.9,0,0,0,0,1130,190,0,0,0,330,100,0,0,0,0,0,50,40,2070,40,0,0,80,0,50,80,40,60,60,0,360,0,40,50,510,210,410,260,660,0,0,0,130,3780,0,0,0,0,110,80,0
53-7073,Wellhead Pumpers,0.84,0,0,0,180,220,600,0,0,0,0,0,0,0,100,60,0,740,230,140,0,0,0,210,0,60,0,130,0,0,0,0,730,0,0,720,580,590,0,860,0,0,0,0,4130,90,0,0,0,550,0,550
53-7081,Refuse and Recyclable Material Collectors,0.93,2070,210,1980,1530,13850,1710,910,440,590,5020,2910,600,430,3240,1850,1090,1500,1650,1350,1040,2580,1680,3790,1900,1200,1900,400,1090,570,710,2640,590,9970,3980,220,6190,1440,1790,5310,370,2090,430,2230,7760,710,480,3430,1890,970,2140,230
53-7111,Mine Shuttle Car Operators,0.37,50,0,0,0,0,70,0,0,0,0,0,0,0,160,40,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,510,0,0
53-7121,Tank Car; Truck; and Ship Loaders,0.72,600,80,110,50,360,80,0,0,0,270,350,0,0,230,230,100,60,300,890,0,50,70,40,130,340,60,0,50,0,0,500,40,60,0,190,260,260,320,160,0,0,0,190,3250,0,0,180,350,0,190,80
